No,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,Time
116,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.4,-88.0,2021-05-28T22:43:08
117,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.4,-88.0,2021-05-28T22:43:09
118,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.6,-88.0,2021-05-28T22:43:11
119,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.6,-88.0,2021-05-28T22:43:12
120,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,19.4,-88.0,2021-05-28T22:43:13
121,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:43:14
122,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:43:15
123,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:43:17
124,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.4,-88.0,2021-05-28T22:43:18
125,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.2,-88.0,2021-05-28T22:43:19
126,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.2,-88.0,2021-05-28T22:43:20
127,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.4,-88.0,2021-05-28T22:43:22
128,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.4,-88.0,2021-05-28T22:43:23
129,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,9.4,-88.0,2021-05-28T22:43:24
130,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,9.4,-88.0,2021-05-28T22:43:25
131,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,9.4,-88.0,2021-05-28T22:43:26
132,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:43:28
133,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:43:29
134,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.6,-88.0,2021-05-28T22:43:30
135,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.6,-88.0,2021-05-28T22:43:31
136,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:43:32
137,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:43:34
138,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:43:35
139,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:43:36
140,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.4,-88.0,2021-05-28T22:43:37
141,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,20.4,-88.0,2021-05-28T22:43:39
142,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:43:40
143,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:43:41
144,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.0,-88.0,2021-05-28T22:43:42
