time,lat,lon,alt,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,s_pcid,s_rc,s_db,s_lband,s_State,p_pcid,p_rc,p_db,p_lband,E-UTRA band 1: 2100,E-UTRA band 1: 900
2021-11-10T07:36:41.000Z,35.38908679,139.4310327,65,-44,-44,-2.5,-106,9,-13,1.2,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,[],"['\tCell [0]:', 109.0, -16.2, -76.9, -52.7, '\tCell [1]:', 106.0, -12.9, -73.5, -43.6, '\tCell [2]:', 188.0, -16.7, -77.1, -52.5]"
2021-11-10T07:36:42.000Z,35.38908679,139.4310327,66,-44,-44,-2.5,-106,9,-13,-1.6,-73,287,475,15,eutran-1,activated,106,3750,10,eutran-8,"['\t\tCell [0]:', 258.0, -20.0, -83.4, -55.5, '\t\tCell [1]:', 100.0, -20.0, -84.4, -56.1, '\t\tCell [2]:', 137.0, -19.3, -82.9, -55.8, '\t\tCell [3]:', 0.0, 0.0, 0.0, 0.0, '\t\tCell [0]:', 108.0, -14.2, -75.7, -54.0, '\t\tCell [1]:', 147.0, -17.6, -82.5, -57.0, '\t\tCell [2]:', 325.0, -16.4, -77.8, -53.5, '\t\tCell [3]:', 40.0, -17.3, -78.8, -53.5, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 109.0, -14.6, -75.4, -52.8, '\tCell [1]:', 106.0, -12.0, -72.6, -43.1, '\tCell [2]:', 188.0, -18.1, -79.0, -52.7]"
2021-11-10T07:36:46.000Z,35.38908679,139.4310327,65,-44,-44,-2.5,-106,9,-13,1.4,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,[],"['\tCell [0]:', 109.0, -15.0, -76.3, -53.6, '\tCell [1]:', 106.0, -12.1, -72.6, -43.0, '\tCell [2]:', 188.0, -18.3, -79.4, -53.3, '\tCell [3]:', 18.0, -19.2, -81.2, -53.4]"
2021-11-10T07:36:53.000Z,35.38908283,139.4310398,66,-44,-44,-2.5,-106,9,-13,0.4,-73,287,475,15,eutran-1,deactivated,106,3750,10,eutran-8,[],"['\tCell [0]:', 109.0, -15.0, -76.0, -53.2, '\tCell [1]:', 106.0, -11.8, -72.7, -44.1, '\tCell [2]:', 188.0, -17.8, -78.5, -52.9]"
2021-11-10T07:36:58.000Z,35.38907548,139.4310398,66,-44,-44,-2.5,-106,9,-13,0.2,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,"['\t\tCell [0]:', 287.0, -20.0, -85.5, -44.0, '\t\tCell [1]:', 36.0, -14.1, -78.4, -56.5, '\t\tCell [2]:', 0.0, 0.0, 0.0, 0.0, '\t\tCell [3]:', 0.0, 0.0, 0.0, 0.0]","['\tCell [0]:', 109.0, -14.7, -75.0, -52.5, '\tCell [1]:', 106.0, -12.8, -73.6, -44.8, '\tCell [2]:', 18.0, -20.0, -82.8, -52.3, '\tCell [3]:', 188.0, -19.8, -79.9, -52.5]"
2021-11-10T07:37:05.000Z,35.38906812,139.4310386,65,-44,-44,-2.5,-106,9,-13,2.4,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,[],"['\tCell [0]:', 106.0, -11.6, -71.8, -43.3, '\tCell [1]:', 277.0, -20.0, -81.6, -51.9, '\t\tCell [0]:', 108.0, -13.9, -75.9, -53.6, '\t\tCell [1]:', 40.0, -17.7, -79.1, -53.0]"
2021-11-10T07:37:06.000Z,35.38906812,139.4310386,66,-44,-44,-2.5,-106,9,-13,-2.8,-73,225,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,"['\t\tCell [0]:', 258.0, -19.8, -83.8, -55.4, '\t\tCell [1]:', 36.0, -16.3, -80.9, -55.4, '\t\tCell [0]:', 108.0, -14.3, -76.2, -54.8, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 106.0, -15.4, -75.7, -43.8, '\tCell [1]:', 92.0, -18.9, -79.5, -52.3, '\tCell [2]:', 188.0, -14.6, -74.8, -52.5]"
2021-11-10T07:37:18.000Z,35.38898442,139.4310099,65,-44,-44,-2.5,-106,9,-18,-5.6,-73,195,475,15,eutran-1,deactivated,109,3750,10,eutran-8,"['\t\tCell [0]:', 137.0, -17.1, -81.2, -56.1, '\t\tCell [1]:', 36.0, -14.5, -78.1, -55.4, '\t\tCell [0]:', 108.0, -16.2, -79.4, -55.5, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 106.0, -17.8, -78.0, -51.7, '\tCell [1]:', 188.0, -18.7, -78.9, -51.9, '\tCell [2]:', 109.0, -16.8, -76.3, -41.6, '\tCell [3]:', 139.0, -20.0, -80.8, -52.2, '\tCell [4]:', 170.0, -18.1, -79.0, -52.4, '\tCell [5]:', 131.0, -19.3, -80.7, -52.7]"
2021-11-10T07:37:19.000Z,35.38894485,139.4309849,65,-44,-44,-2.5,-106,9,-18,-5.6,-73,195,475,15,eutran-1,deconfigured,109,3750,10,eutran-8,"['\t\tCell [0]:', 137.0, -17.1, -81.2, -56.1, '\t\tCell [1]:', 36.0, -14.5, -78.1, -55.4, '\t\tCell [2]:', 0.0, 0.0, 0.0, 0.0, '\t\tCell [0]:', 108.0, -16.1, -79.4, -55.4, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 170.0, -17.2, -78.9, -52.9, '\tCell [1]:', 188.0, -17.9, -78.5, -52.7, '\tCell [2]:', 109.0, -15.2, -75.6, -43.8, '\tCell [3]:', 131.0, -18.5, -80.7, -52.8, '\tCell [4]:', 106.0, -17.4, -77.7, -52.6]"
2021-11-10T07:37:23.000Z,35.38873846,139.4308881,67,-44,-44,-2.5,-106,9,-18,-4.4,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,[],"['\tCell [0]:', 170.0, -16.5, -78.2, -53.7, '\tCell [1]:', 188.0, -15.6, -76.7, -53.3, '\tCell [2]:', 106.0, -14.2, -74.5, -42.8, '\tCell [3]:', 302.0, -20.0, -83.6, -52.9, '\tCell [4]:', 92.0, -18.5, -78.3, -51.8, '\t\tCell [0]:', 108.0, -14.1, -77.0, -55.3]"
2021-11-10T07:37:24.000Z,35.38869492,139.4308702,66,-44,-44,-2.5,-106,9,-18,-3.4,-73,287,475,15,eutran-1,deconfigured,106,3750,10,eutran-8,"['\t\tCell [0]:', 137.0, -17.6, -82.2, -56.2, '\t\tCell [1]:', 36.0, -17.2, -81.3, -55.6, '\t\tCell [2]:', 134.0, -17.0, -80.8, -55.7, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 106.0, -15.6, -76.0, -44.5, '\tCell [1]:', 109.0, -16.4, -77.4, -53.4, '\tCell [2]:', 131.0, -18.0, -79.9, -53.6, '\tCell [3]:', 170.0, -19.9, -82.0, -54.0, '\t\tCell [0]:', 108.0, -14.0, -76.2, -54.1]"
